date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2024-05-15,2023-24,2,COL,DAL,1,1,2,1,2023030235
2024-05-16,2023-24,2,NYR,CAR,0,1,1,1,2023030226
2024-05-16,2023-24,2,EDM,VAN,2,1,3,0,2023030245
2024-05-17,2023-24,2,FLA,BOS,0,1,1,1,2023030216
2024-05-17,2023-24,2,DAL,COL,0,0,0,1,2023030236
2024-05-18,2023-24,2,VAN,EDM,1,1,2,1,2023030246
2024-05-20,2023-24,2,EDM,VAN,0,0,0,1,2023030247
2024-05-22,2023-24,3,FLA,NYR,1,0,1,1,2023030311
2024-05-23,2023-24,3,EDM,DAL,0,0,0,1,2023030321
2024-05-24,2023-24,3,FLA,NYR,1,1,2,1,2023030312
2024-05-25,2023-24,3,EDM,DAL,1,1,2,1,2023030322
2024-05-26,2023-24,3,NYR,FLA,2,2,4,0,2023030313
2024-05-27,2023-24,3,DAL,EDM,0,2,2,1,2023030323
2024-05-28,2023-24,3,NYR,FLA,1,0,1,1,2023030314
2024-05-29,2023-24,3,DAL,EDM,2,2,4,0,2023030324
2024-05-30,2023-24,3,FLA,NYR,0,0,0,1,2023030315
2024-05-31,2023-24,3,EDM,DAL,1,0,1,1,2023030325
2024-06-01,2023-24,3,NYR,FLA,0,1,1,1,2023030316
2024-06-02,2023-24,3,DAL,EDM,0,2,2,1,2023030326
2024-06-08,2023-24,4,EDM,FLA,0,1,1,1,2023030411
2024-06-10,2023-24,4,EDM,FLA,1,0,1,1,2023030412
2024-06-13,2023-24,4,FLA,EDM,1,0,1,1,2023030413
2024-06-15,2023-24,4,FLA,EDM,1,3,4,0,2023030414
2024-06-18,2023-24,4,EDM,FLA,1,0,1,1,2023030415
2024-06-21,2023-24,4,FLA,EDM,0,1,1,1,2023030416
2024-06-24,2023-24,4,EDM,FLA,1,1,2,1,2023030417
2025-04-19,2024-25,1,STL,WPG,2,2,4,0,2024030151
2025-04-19,2024-25,1,COL,DAL,0,0,0,1,2024030161
2025-04-20,2024-25,1,OTT,TOR,1,2,3,0,2024030111
2025-04-20,2024-25,1,NJD,CAR,0,1,1,1,2024030141
2025-04-20,2024-25,1,MIN,VGK,1,1,2,1,2024030171
2025-04-21,2024-25,1,MTL,WSH,0,1,1,1,2024030131
2025-04-21,2024-25,1,STL,WPG,1,1,2,1,2024030152
2025-04-21,2024-25,1,COL,DAL,1,1,2,1,2024030162
2025-04-21,2024-25,1,EDM,LAK,0,2,2,1,2024030181
2025-04-22,2024-25,1,OTT,TOR,0,2,2,1,2024030112
2025-04-22,2024-25,1,FLA,TBL,2,1,3,0,2024030121
2025-04-22,2024-25,1,NJD,CAR,1,0,1,1,2024030142
2025-04-22,2024-25,1,MIN,VGK,3,0,3,0,2024030172
2025-04-23,2024-25,1,MTL,WSH,0,0,0,1,2024030132
2025-04-23,2024-25,1,DAL,COL,0,1,1,1,2024030163
2025-04-23,2024-25,1,EDM,LAK,0,1,1,1,2024030182
2025-04-24,2024-25,1,TOR,OTT,0,0,0,1,2024030113
2025-04-24,2024-25,1,FLA,TBL,1,0,1,1,2024030122
2025-04-24,2024-25,1,WPG,STL,0,3,3,0,2024030153
2025-04-24,2024-25,1,VGK,MIN,1,2,3,0,2024030173
